"year","weighted_average","average","n"
"2000",38.2897829887747,32.2582555,38
"2001",36.8607149034675,31.4048198157895,38
"2002",36.6100931395785,30.1400268421053,38
"2003",36.4076389566674,29.6527178157895,38
"2004",35.9576869725897,28.8533336315789,38
"2005",35.5111761079108,27.8883332894737,38
"2006",35.2453829947543,27.4666111052632,38
"2007",34.9152086965551,26.7960643157895,38
"2008",33.6306632188309,25.7690466052632,38
"2009",33.4702145614841,25.6462571315789,38
"2010",33.4585584439491,25.4794798684211,38
"2011",33.3053137559209,25.4196808421053,38
"2012",32.89989046487,25.2676628421053,38
"2013",32.9038379984186,25.4538369736842,38
"2014",32.5286114174754,25.2224747631579,38
"2015",32.1912806455125,25.2352448947368,38
"2016",31.6631331643032,24.9394063684211,38
"2017",31.9076658563999,24.7651066052632,38
"2018",26.431475220314,24.2035250789474,38
"2019",26.3724837551447,23.8945325263158,38
"2020",26.0422495452012,23.2739074473684,38
"2021",25.8409522788764,23.1181819736842,38
"2022",25.7273991066059,23.125314,38
