"iso_3","country","year","waverage","rank"
"EST","Estonia","2021",1,1
"LVA","Latvia","2021",1,1
"LTU","Lithuania","2021",0.882106025809717,3
"HRV","Croatia","2021",0.871574911544551,4
"ITA","Italy","2021",0.763381255707611,5
"ISL","Iceland","2021",0.746813557424292,6
"FRA","France","2021",0.74191727598612,7
"CHE","Switzerland","2021",0.741130678665535,8
"SVK","Slovakia","2021",0.739108522904136,9
"BEL","Belgium","2021",0.737346007053591,10
"FIN","Finland","2021",0.734223661239462,11
"CZE","Czechia","2021",0.732900982622489,12
"AUT","Austria","2021",0.731752559386399,13
"PRT","Portugal","2021",0.725795093032973,14
"GBR","United Kingdom of Great Britain and Northern Ireland","2021",0.723635946234344,15
"LUX","Luxembourg","2021",0.710651118374072,16
"SWE","Sweden","2021",0.703287277929963,17
"DNK","Denmark","2021",0.681809865085748,18
"DEU","Germany","2021",0.662911974531595,19
"TUR","Turkey","2021",0.660536419841566,20
"ROU","Romania","2021",0.658026983245536,21
"SVN","Slovenia","2021",0.653206294653551,22
"MLT","Malta","2021",0.64669974660385,23
"IRL","Ireland","2021",0.639369933156099,24
"CYP","Cyprus","2021",0.63144478133936,25
"GRC","Greece","2021",0.63144478133936,25
"NLD","Netherlands","2021",0.626344411893008,27
"ESP","Spain","2021",0.613114752512167,28
"NOR","Norway","2021",0.607342889836981,29
"POL","Poland","2021",0.593159040099005,30
"HUN","Hungary","2021",0.58335102376213,31
