"","iso_3","country","year","waverage","rank"
"1462","EST","Estonia","2020",1,1
"2604","LVA","Latvia","2020",1,1
"2714","LTU","Lithuania","2020",0.882106025809717,3
"1060","HRV","Croatia","2020",0.871574911544551,4
"5172","GBR","United Kingdom","2020",0.855368376234344,5
"2122","ISL","Iceland","2020",0.746813557424292,6
"1700","FRA","France","2020",0.74191727598612,7
"4810","CHE","Switzerland","2020",0.741130678665535,8
"4368","SVK","Slovakia","2020",0.739108522904136,9
"1636","FIN","Finland","2020",0.734223661239462,10
"1142","CZE","Czech Republic","2020",0.732900982622489,11
"324","AUT","Austria","2020",0.731752559386399,12
"4000","PRT","Portugal","2020",0.725795093032973,13
"716","BGR","Bulgaria","2020",0.724520292877729,14
"2752","LUX","Luxembourg","2020",0.709532356765518,15
"4770","SWE","Sweden","2020",0.703287277929963,16
"496","BEL","Belgium","2020",0.699539827928395,17
"1204","DNK","Denmark","2020",0.681809865085748,18
"2328","ITA","Italy","2020",0.668314898635569,19
"1808","DEU","Germany","2020",0.662911974531595,20
"5046","TUR","Turkey","2020",0.660536419841566,21
"4110","ROU","Romania","2020",0.658026983245536,22
"4406","SVN","Slovenia","2020",0.653206294653551,23
"2928","MLT","Malta","2020",0.64669974660385,24
"3418","NOR","Norway","2020",0.641673159473345,25
"2250","IRL","Ireland","2020",0.639369933156099,26
"1104","CYP","Cyprus","2020",0.63144478133936,27
"1870","GRC","Greece","2020",0.63144478133936,27
"4556","ESP","Spain","2020",0.613114752512167,29
"3228","NLD","Netherlands","2020",0.606649801918585,30
"3962","POL","Poland","2020",0.593159040099005,31
"2084","HUN","Hungary","2020",0.58335102376213,32
